city,lat,temp,humidity,clouds,wind,lon
batemans bay,61.7333,35.6,75.0,40.0,5.21,130.2811
sale,-23.1333,71.6,64.0,9.0,6.91,150.7333
pokhara,-45.8742,53.01,47.0,51.0,11.01,170.5036
cardston,26.7292,75.2,60.0,0.0,6.2,33.9365
saldanha,36.6177,55.87,59.0,90.0,9.22,-121.9166
vyazma,45.8667,42.31,78.0,12.0,1.99,25.7833
mokhsogollokh,18.8003,79.05,87.0,100.0,6.31,110.3967
wamba,49.2833,48.78,38.0,99.0,6.35,120.7333
ossora,50.1489,48.61,31.0,100.0,9.04,-95.8811
cockburn harbour,38.065,53.6,71.0,75.0,16.11,30.1656
lazaro cardenas,-8.0089,78.8,78.0,40.0,10.36,-34.8553
vologda,10.5669,83.71,72.0,2.0,7.18,72.642
kerki,40.5992,55.51,44.0,70.0,3.0,-77.5714
lata,-3.7728,75.9,94.0,85.0,1.77,-61.6442
sabattus,-18.95,67.6,95.0,100.0,2.24,-57.8
shahr-e babak,-38.5473,55.99,84.0,94.0,7.83,-58.7368
karpathos,38.7333,60.48,82.0,75.0,12.73,-27.0667
nhamunda,28.017,80.96,54.0,1.0,17.27,-97.5169
qom,52.85,47.7,33.0,100.0,10.04,-102.3842
carberry,10.346,81.48,80.0,75.0,5.99,107.0843
urumqi,20.8667,82.74,66.0,37.0,12.71,-90.4
goderich,57.5129,34.48,95.0,100.0,3.0,24.7194
bukama,-3.3667,76.41,88.0,100.0,1.59,135.4833
axim,53.1406,33.03,72.0,12.0,2.42,140.73
vredendal,32.8752,62.78,72.0,4.0,17.2,13.1875
san cristobal,20.931,66.2,82.0,0.0,14.97,-17.0347
okhotsk,-7.5061,77.95,89.0,77.0,2.06,-63.0208
novopokrovka,42.1167,52.3,52.0,85.0,7.23,118.7833
asfi,34.3834,66.58,48.0,1.0,5.75,-86.3333
punta de bombon,-34.4833,59.5,79.0,50.0,10.22,-54.3333
novikovo,52.4675,25.7,85.0,50.0,3.09,96.11
saint-georges,9.2333,80.44,80.0,69.0,11.52,-78.0167
ostrovnoy,19.8,75.13,88.0,100.0,3.22,105.7667
makinsk,12.5898,88.2,38.0,70.0,10.0,6.5779
emilio carranza,60.8156,23.9,86.0,90.0,8.05,-115.7999
mayya,26.5412,79.77,72.0,0.0,10.56,-77.0636
yeppoon,56.45,29.3,74.0,45.0,1.9,138.1667
dunedin,-22.092,66.15,69.0,13.0,4.45,-70.1979
safaga,21.85,73.33,91.0,100.0,8.55,111.9667
pacific grove,34.8791,64.92,63.0,45.0,8.75,-76.9013
sfantu gheorghe,60.2776,35.42,97.0,100.0,6.4,47.0659
grand centre,5.3505,83.41,65.0,60.0,10.27,48.5268
labutta,25.05,80.31,78.0,76.0,9.17,61.7417
wanning,60.3964,41.0,93.0,100.0,4.61,-1.353
yakeshi,42.7762,58.08,92.0,62.0,1.01,-9.0603
pinawa,-34.6515,56.66,94.0,70.0,5.12,-59.4307
dinar,26.1903,55.67,97.0,100.0,4.09,107.5125
olinda,-4.5061,73.87,99.0,100.0,2.98,-73.5757
kavaratti,6.7472,73.38,90.0,100.0,2.91,-7.3496
lewistown,53.5739,28.4,58.0,4.0,4.92,142.9478
anori,54.5611,32.49,78.0,56.0,10.74,100.5792
puerto suarez,-23.35,69.93,91.0,17.0,1.43,47.6
necochea,66.8333,32.76,95.0,100.0,12.53,70.8333
praia da vitoria,14.0453,77.47,78.0,100.0,8.68,124.1694
san patricio,-8.7619,77.0,94.0,40.0,1.14,-63.9039
hudson bay,-5.041,70.95,95.0,67.0,2.28,18.8162
vung tau,-34.0527,65.41,70.0,100.0,4.54,23.3716
celestun,18.4167,77.72,88.0,6.0,6.85,84.05
limbazi,56.1525,34.86,93.0,100.0,9.64,96.9161
nabire,45.5234,58.06,44.0,90.0,3.44,-122.6762
nikolayevsk-na-amure,39.447,57.43,38.0,1.0,6.91,-86.1758
tripoli,7.6947,78.75,84.0,100.0,2.62,126.5503
nouadhibou,55.3053,35.67,48.0,100.0,2.24,82.7391
humaita,5.9667,77.5,87.0,17.0,2.93,80.4167
mujiayingzi,64.1835,41.0,75.0,75.0,5.75,-51.7216
marshall,55.0997,40.48,62.0,100.0,7.38,80.9572
rocha,-13.7,64.65,88.0,0.0,6.91,-76.2167
toora-khem,25.2867,79.83,83.0,54.0,3.44,51.5333
ailigandi,30.9866,60.55,82.0,40.0,4.47,103.9393
thanh hoa,22.7583,71.6,73.0,75.0,5.75,121.1444
kaura namoda,50.2334,41.0,65.0,90.0,6.91,-63.5986
hay river,38.4362,75.15,28.0,0.0,6.4,57.4316
marsh harbour,37.4833,53.01,38.0,0.0,15.75,141.0
ayan,36.3209,74.5,24.0,39.0,12.37,41.8754
tocopilla,-20.0167,75.2,73.0,90.0,11.5,148.2333
yangjiang,52.6334,42.93,33.0,100.0,3.44,-114.2353
havelock,3.3803,79.2,80.0,100.0,6.06,-59.7968
podosinovets,66.5606,33.82,94.0,100.0,10.92,67.7975
hobyo,35.4717,58.01,87.0,20.0,5.79,23.7763
jiwani,7.4281,79.54,76.0,75.0,3.51,123.3466
brae,37.7322,56.75,30.0,100.0,2.53,115.7011
muros,33.6668,77.65,50.0,1.0,10.36,-95.5836
mercedes,58.2,37.24,48.0,35.0,2.3,7.9
xiaoweizhai,50.6996,50.4,76.0,75.0,3.44,-127.4199
nauta,66.3167,28.02,85.0,14.0,1.01,-179.1667
duekoue,56.2092,29.1,91.0,10.0,7.87,33.4889
okha,67.6803,35.64,92.0,100.0,7.16,53.1512
tulun,35.3849,68.05,46.0,90.0,10.36,-77.9928
vangaindrano,22.9167,70.92,53.0,0.0,2.82,96.5
yar-sale,8.0,92.68,33.0,72.0,13.18,-66.0
pandan,60.7167,50.0,32.0,90.0,37.98,-46.0333
porto velho,51.0333,45.05,74.0,8.0,8.01,-4.2167
kikwit,10.4396,83.68,77.0,100.0,7.34,45.0143
plettenberg bay,54.7682,44.6,29.0,90.0,6.91,-101.865
narasannapeta,26.1842,70.09,73.0,40.0,6.91,127.7558
tinskoy,-23.8833,62.89,21.0,0.0,4.79,24.75
portland,-9.0122,78.01,84.0,14.0,7.14,-35.2225
bud,4.5833,70.25,84.0,96.0,0.25,13.6833
kinablangan,33.7333,55.4,35.0,20.0,21.85,135.9833
kolyvan,59.6481,41.99,65.0,92.0,13.49,67.41
weligama,27.9571,75.2,53.0,1.0,8.46,68.6379
nuuk,-29.6643,57.9,52.0,92.0,3.13,17.8865
chulym,-24.6333,69.55,25.0,19.0,3.91,17.9667
pisco,28.0167,90.36,4.0,94.0,6.49,-105.2833
doha,47.6333,43.0,70.0,50.0,1.86,12.2167
tianpeng,66.0449,37.4,87.0,90.0,11.5,-17.3389
karaul,69.4865,2.93,92.0,92.0,5.35,88.3972
tsihombe,16.8634,84.2,70.0,90.0,6.91,-99.8901
taitung,-21.3393,71.8,73.0,0.0,19.57,55.4781
havre-saint-pierre,48.2766,46.62,57.0,90.0,10.36,-116.5533
baherden,55.8713,36.05,87.0,15.0,9.69,-2.0901
namie,5.556,84.2,84.0,75.0,9.22,-0.1969
sinjar,38.6989,55.47,23.0,100.0,3.42,116.0936
bowen,37.4779,56.34,19.0,15.0,2.1,47.0508
rimbey,57.2471,33.39,88.0,40.0,7.2,58.7298
lethem,37.2001,75.11,31.0,1.0,14.97,-94.3502
aksarka,51.3223,39.0,58.0,9.0,8.34,42.7678
glossa,-1.9417,80.6,94.0,40.0,6.91,-54.7383
panubigan,27.0936,89.17,18.0,4.0,7.52,67.7337
tabiauea,56.2589,36.0,67.0,100.0,4.0,83.9714
hengshui,42.2506,51.62,66.0,40.0,13.8,-75.833
lamar,-17.8,68.0,88.0,75.0,6.91,-63.1667
strai,-17.3147,71.26,54.0,100.0,6.31,-53.2153
port hardy,59.5833,20.73,60.0,35.0,5.7,151.2833
haibowan,19.3667,83.75,65.0,20.0,5.75,-81.4167
egvekinot,,,,,,
olenino,,,,,,
iskateley,,,,,,
goldsboro,,,,,,
mogok,,,,,,
venezuela,,,,,,
qaqortoq,,,,,,
northam,,,,,,
berbera,,,,,,
flin flon,,,,,,
nishihara,,,,,,
khudumelapye,,,,,,
maragogi,,,,,,
bertoua,,,,,,
shingu,,,,,,
kondinskoye,,,,,,
shikarpur,,,,,,
springbok,,,,,,
mariental,,,,,,
saucillo,,,,,,
ebbs,,,,,,
husavik,,,,,,
talnakh,,,,,,
acapulco,,,,,,
saint-pierre,,,,,,
sandpoint,,,,,,
eyemouth,,,,,,
accra,,,,,,
renqiu,,,,,,
hashtrud,,,,,,
shalya,,,,,,
jasper,,,,,,
kamenka,,,,,,
alenquer,,,,,,
khairpur nathan shah,,,,,,
kozhevnikovo,,,,,,
safwah,,,,,,
broome,,,,,,
yithion,,,,,,
santa cruz,,,,,,
alto araguaia,,,,,,
ola,,,,,,
west bay,,,,,,
utiroa,,,,,,
